Time_s,X,Y,Lateral_Error_m,Remaining_Dist_m,Heading_Error_rad,Speed_Cmd,Steer_Cmd
0.1016,0.2546,0.1389,-0.0000,0.7000,0.0000,70.00,0.00
0.2020,0.2543,0.1700,-0.0000,0.6689,0.0060,70.00,0.13
0.3029,0.2543,0.1995,-0.0001,0.6394,0.0102,70.00,0.18
0.4039,0.2544,0.2296,-0.0005,0.6093,0.0106,70.00,0.14
0.5202,0.2545,0.1486,-0.0000,0.6903,-0.0006,70.00,-0.11
0.6204,0.2542,0.1840,0.0000,0.6549,0.0053,70.00,0.08
0.7217,0.2542,0.2135,-0.0002,0.6254,0.0094,70.00,0.15
0.8291,0.2543,0.2448,-0.0005,0.5942,0.0125,70.00,0.18
0.9226,0.2545,0.1513,-0.0000,0.6876,-0.0090,70.00,-0.34
1.0230,0.2541,0.1740,0.0002,0.6649,-0.0027,70.00,-0.05
1.1229,0.2537,0.2045,0.0004,0.6345,0.0056,70.00,0.14
1.2233,0.2536,0.2346,0.0003,0.6043,0.0109,70.00,0.21
1.3233,0.2536,0.2668,0.0000,0.5722,0.0152,70.00,0.24
1.4399,0.2533,0.2213,0.0006,0.6177,0.0044,70.00,-0.03
1.5405,0.2530,0.2569,0.0007,0.5820,0.0117,70.00,0.17
1.6410,0.2529,0.2878,0.0006,0.5511,0.0170,70.00,0.26
1.7410,0.2530,0.3177,0.0003,0.5212,0.0196,70.00,0.26
1.8412,0.2521,0.3050,0.0012,0.5339,0.0015,70.00,-0.18
1.9483,0.2515,0.3348,0.0015,0.5041,0.0099,70.00,0.12
2.0500,0.2512,0.3658,0.0017,0.4731,0.0155,70.00,0.23
2.1497,0.2509,0.3967,0.0017,0.4422,0.0212,70.00,0.31
2.2508,0.2508,0.4275,0.0015,0.4114,0.0261,70.00,0.36
2.3568,0.2493,0.3984,0.0033,0.4405,0.0030,70.00,-0.19
2.4580,0.2481,0.4312,0.0043,0.4077,0.0189,70.00,0.29
2.5585,0.2471,0.4611,0.0050,0.3778,0.0332,70.00,0.54
2.6588,0.2464,0.4910,0.0055,0.3479,0.0449,70.00,0.67
2.7603,0.2470,0.4990,0.0048,0.3399,0.0454,70.00,0.55
2.8716,0.2467,0.5286,0.0049,0.3103,0.0530,70.00,0.65
2.9713,0.2466,0.5539,0.0047,0.2850,0.0626,70.00,0.79
3.0729,0.2469,0.5851,0.0042,0.2538,0.0684,70.00,0.82
3.1732,0.2474,0.6150,0.0035,0.2239,0.0682,70.00,0.73
3.2776,0.2472,0.6206,0.0037,0.2183,0.0583,70.00,0.49
3.3811,0.2477,0.6529,0.0029,0.1860,0.0591,70.00,0.56
3.4817,0.2483,0.6832,0.0021,0.1557,0.0581,70.00,0.56
3.5906,0.2492,0.7131,0.0010,0.1259,0.0548,70.00,0.50
3.6824,0.2480,0.7101,0.0022,0.1288,0.0528,70.00,0.48
3.7834,0.2486,0.7378,0.0014,0.1012,0.0508,70.00,0.47
3.8835,0.2495,0.7673,0.0002,0.0716,0.0478,70.00,0.43
3.9922,0.2507,0.7976,-0.0012,0.0414,0.0388,70.00,0.27
4.0852,0.2485,0.7869,0.0011,0.0520,0.0485,70.00,0.56
4.1868,0.2491,0.8188,0.0002,0.0000,0.0000,0.00,0.00
